model,average_batch_time_ms,median_batch_time_ms,average_inference_time_ms_per_sample,median_inference_time_ms_per_sample,model_size_bytes,model_size_kb,model_size_mb
Logistic Regression,2.1578669996233657,1.8524500192143023,0.002157866999623366,0.0018524500192143023,1921,1.8759765625,0.0018320083618164062
Random Forest,72.34353400475811,70.15849999152124,0.07234353400475811,0.07015849999152124,1089225,1063.6962890625,1.0387659072875977
Isolation Forest,43.630548997898586,42.88500000257045,0.04363054899789859,0.04288500000257045,1513568,1478.09375,1.443450927734375
